ik_success,success,planning_time_s,n_collision_checks,collision_check_time_s,geometry_mode,trial,n_obstacles
True,True,0.09657637499913108,259,0.07398308291158173,box,0,6
False,False,0.0,0,0.0,box,1,6
True,True,0.11269104199891444,213,0.05959898889705073,box,2,6
False,False,0.0,0,0.0,box,3,6
False,False,0.0,0,0.0,box,4,6
True,False,0.0009184999944409356,2,0.0006714170012855902,box,5,6
True,False,0.0009803330030990764,2,0.0007451670098816976,box,6,6
True,True,0.007618791001732461,22,0.006846709016826935,box,7,6
True,False,0.0010977499914588407,2,0.000828000993351452,box,8,6
True,True,0.0068290409981273115,22,0.0060662940522888675,box,9,6
True,True,0.007255249991430901,22,0.006493625929579139,box,10,6
True,True,0.007398957997793332,22,0.006618044018978253,box,11,6
False,False,0.0,0,0.0,box,12,6
True,False,0.001012625012663193,2,0.0007666250021429732,box,13,6
False,False,0.0,0,0.0,box,14,6
True,False,0.00091608299408108,2,0.0006765819998690858,box,15,6
False,False,0.0,0,0.0,box,16,6
True,True,0.007140624991734512,22,0.006356377052725293,box,17,6
True,True,0.0071099580090958625,22,0.006322086017462425,box,18,6
True,True,0.07366187500883825,198,0.05428753090382088,box,19,6
True,True,0.13559354199969675,411,0.11189413111424074,box,20,6
True,True,0.007147416996303946,22,0.006386253939126618,box,21,6
True,False,0.0008233340049628168,2,0.0005830420122947544,box,22,6
True,True,0.010520290990825742,32,0.009482751003815793,box,23,6
True,True,0.5735550410026917,646,0.19978308099962305,box,24,6
True,True,0.007766708004055545,22,0.006941165993339382,box,25,6
True,False,0.0009319590026279911,2,0.0006887070048833266,box,26,6
True,False,0.0008957910031313077,2,0.0006587079988094047,box,27,6
True,False,0.0005476660007843748,1,0.00031929099350236356,box,28,6
True,True,0.11840683399350382,292,0.08481975700124167,box,29,6
True,True,0.12548787500418257,346,0.0974402879801346,box,30,6
True,True,0.09765233300277032,277,0.07774424702802207,box,31,6
True,True,0.07352283300133422,182,0.053907956011244096,box,32,6
True,False,0.0009218750055879354,2,0.0006626240065088496,box,33,6
False,False,0.0,0,0.0,box,34,6
True,False,0.0009850829956121743,2,0.0007348750077653676,box,35,6
True,True,0.07432479099952616,205,0.056529849069193006,box,36,6
True,True,0.10716424998827279,295,0.08527750418579672,box,37,6
True,True,0.007108582998625934,22,0.006335001016850583,box,38,6
True,False,0.0010102499945787713,2,0.0007783759938320145,box,39,6
True,False,0.0009545420034555718,2,0.0007336250127991661,box,40,6
True,False,0.0009587499953340739,2,0.0007234160002553836,box,41,6
True,False,0.0009262920066248626,2,0.0007071669970173389,box,42,6
False,False,0.0,0,0.0,box,43,6
False,False,0.0,0,0.0,box,44,6
False,False,0.0,0,0.0,box,45,6
True,True,0.08465245900151785,205,0.058475944882957265,box,46,6
False,False,0.0,0,0.0,box,47,6
True,True,0.00765174999833107,22,0.00683358105015941,box,48,6
False,False,0.0,0,0.0,box,49,6
True,True,0.0892768750054529,250,0.06716249902092386,vhacd,0,6
False,False,0.0,0,0.0,vhacd,1,6
True,True,0.007132291997550055,22,0.006379164013196714,vhacd,2,6
False,False,0.0,0,0.0,vhacd,3,6
False,False,0.0,0,0.0,vhacd,4,6
True,False,0.0016864589997567236,2,0.001448625000193715,vhacd,5,6
True,False,0.0009600000048521906,2,0.0007399160094792023,vhacd,6,6
True,True,0.0072124160069506615,22,0.0064593309798510745,vhacd,7,6
True,False,0.0025529580016154796,2,0.002305625006556511,vhacd,8,6
True,True,0.006930917006684467,22,0.006128628010628745,vhacd,9,6
True,True,0.007036916998913512,22,0.006273205974139273,vhacd,10,6
True,True,0.007189166994066909,22,0.0064467909978702664,vhacd,11,6
False,False,0.0,0,0.0,vhacd,12,6
True,False,0.003337166999699548,2,0.0031161250080913305,vhacd,13,6
False,False,0.0,0,0.0,vhacd,14,6
True,True,0.12453108301269822,345,0.09440462288330309,vhacd,15,6
False,False,0.0,0,0.0,vhacd,16,6
True,False,0.0008998340053949505,2,0.0006548749952344224,vhacd,17,6
True,True,0.006756625007255934,22,0.005987833996186964,vhacd,18,6
True,True,0.08537337499728892,242,0.06474682599946391,vhacd,19,6
True,False,0.001381750000291504,2,0.0011554579978110269,vhacd,20,6
True,False,0.0031065410003066063,2,0.002872042008675635,vhacd,21,6
True,True,1.4899744579888647,620,0.24080550378130283,vhacd,22,6
True,True,0.010321415989892557,32,0.009234624987584539,vhacd,23,6
True,True,0.24058416600746568,483,0.15177950011275243,vhacd,24,6
True,True,0.08681754200370051,243,0.0648952028277563,vhacd,25,6
True,False,0.0028592910093721002,2,0.002631665993249044,vhacd,26,6
True,True,0.009682957999757491,32,0.008698667967109941,vhacd,27,6
False,False,0.0,0,0.0,vhacd,28,6
True,True,0.07335274999786634,178,0.049357491079717875,vhacd,29,6
True,True,0.1313364170055138,361,0.1024999121145811,vhacd,30,6
True,True,0.09903750001103617,287,0.0776279638230335,vhacd,31,6
True,True,0.06889062499976717,179,0.049499297063448466,vhacd,32,6
True,True,0.38317445799475536,589,0.18978004109521862,vhacd,33,6
False,False,0.0,0,0.0,vhacd,34,6
True,False,0.0011434579937485978,2,0.0008931249903980643,vhacd,35,6
True,True,0.07631300001230557,197,0.05762429595051799,vhacd,36,6
True,True,0.08295429201098159,203,0.061751497007207945,vhacd,37,6
True,True,0.007304208003915846,22,0.006509625003673136,vhacd,38,6
True,False,0.003896583992172964,2,0.003660750007838942,vhacd,39,6
True,False,0.0015635839954484254,2,0.0013193749909987673,vhacd,40,6
True,False,0.002340749997529201,2,0.002108290995238349,vhacd,41,6
True,False,0.002090250010951422,2,0.001853709007264115,vhacd,42,6
False,False,0.0,0,0.0,vhacd,43,6
False,False,0.0,0,0.0,vhacd,44,6
False,False,0.0,0,0.0,vhacd,45,6
True,True,0.0929232500056969,231,0.06603449712565634,vhacd,46,6
False,False,0.0,0,0.0,vhacd,47,6
True,True,0.007379000002401881,22,0.0065769560023909435,vhacd,48,6
False,False,0.0,0,0.0,vhacd,49,6
